User_ID,Channel,Region,Device,Visited_Website,Signed_Up,Lead_Qualified,Demo_or_Trial,Converted_to_Customer
1,Paid Ads,North,Mobile,1,1,0,0,0
2,Referral,West,Mobile,1,0,0,0,0
3,Social Media,West,Desktop,1,1,0,0,0
4,Social Media,South,Tablet,1,1,0,0,0
5,Organic Search,East,Desktop,1,1,0,0,0
6,Organic Search,East,Desktop,1,0,0,0,0
7,Organic Search,East,Desktop,1,1,0,0,0
8,Email,West,Desktop,1,1,1,1,1
9,Social Media,West,Desktop,1,0,0,0,0
10,Social Media,West,Desktop,1,0,0,0,0
11,Organic Search,North,Desktop,1,1,0,0,0
12,Referral,South,Mobile,1,1,0,0,0
13,Email,West,Mobile,1,1,0,0,0
14,Organic Search,South,Mobile,1,0,0,0,0
15,Organic Search,South,Tablet,1,1,1,0,0
16,Organic Search,East,Desktop,1,1,1,1,0
17,Paid Ads,North,Desktop,1,0,0,0,0
18,Paid Ads,West,Mobile,1,0,0,0,0
19,Paid Ads,East,Desktop,1,1,1,1,1
20,Organic Search,East,Tablet,1,0,0,0,0
21,Social Media,West,Desktop,1,1,1,0,0
22,Organic Search,South,Tablet,1,0,0,0,0
23,Organic Search,East,Desktop,1,1,1,0,0
24,Paid Ads,South,Mobile,1,1,1,1,0
25,Paid Ads,North,Desktop,1,0,0,0,0
26,Email,South,Tablet,1,1,1,0,0
27,Organic Search,North,Desktop,1,1,1,1,1
28,Paid Ads,South,Mobile,1,0,0,0,0
29,Social Media,East,Tablet,1,0,0,0,0
30,Organic Search,East,Desktop,1,1,0,0,0
31,Social Media,North,Mobile,1,1,0,0,0
32,Organic Search,West,Mobile,1,1,1,1,0
33,Organic Search,North,Desktop,1,1,1,0,0
34,Referral,North,Mobile,1,1,0,0,0
35,Referral,South,Mobile,1,1,0,0,0
36,Email,South,Tablet,1,0,0,0,0
37,Paid Ads,North,Desktop,1,1,1,0,0
38,Organic Search,East,Desktop,1,1,1,1,1
39,Social Media,South,Tablet,1,1,0,0,0
40,Paid Ads,West,Mobile,1,0,0,0,0
41,Organic Search,South,Desktop,1,1,0,0,0
42,Paid Ads,South,Mobile,1,1,1,1,1
43,Organic Search,West,Desktop,1,1,1,1,1
44,Referral,North,Desktop,1,1,1,1,1
45,Organic Search,West,Desktop,1,1,1,1,1
46,Social Media,North,Desktop,1,0,0,0,0
47,Paid Ads,North,Mobile,1,0,0,0,0
48,Paid Ads,North,Desktop,1,1,1,1,1
49,Paid Ads,West,Tablet,1,1,0,0,0
50,Organic Search,North,Tablet,1,0,0,0,0
51,Referral,East,Mobile,1,0,0,0,0
52,Email,West,Desktop,1,1,0,0,0
53,Referral,East,Desktop,1,1,0,0,0
